root@mininet-vm:~/CS488S22/projects/proj1# ping 10.0.0.1
PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=230 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=192 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=181 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=206 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=209 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=205 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=192 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=204 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=191 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=205 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=206 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=206 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=206 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=193 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=180 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=189 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=180 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=206 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=194 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=203 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=194 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=180 ms
