root@mininet-vm:~/CS488S22/projects/proj1# ping 10.0.0.5
PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=49.6 ms
64 bytes from 10.0.0.5: icmp_seq=2 ttl=64 time=46.4 ms
64 bytes from 10.0.0.5: icmp_seq=3 ttl=64 time=45.0 ms
64 bytes from 10.0.0.5: icmp_seq=4 ttl=64 time=42.7 ms
64 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=43.2 ms
64 bytes from 10.0.0.5: icmp_seq=6 ttl=64 time=44.0 ms
64 bytes from 10.0.0.5: icmp_seq=7 ttl=64 time=43.0 ms
64 bytes from 10.0.0.5: icmp_seq=8 ttl=64 time=43.3 ms
64 bytes from 10.0.0.5: icmp_seq=9 ttl=64 time=44.6 ms
64 bytes from 10.0.0.5: icmp_seq=10 ttl=64 time=43.3 ms
64 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=43.6 ms
64 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=42.5 ms
64 bytes from 10.0.0.5: icmp_seq=13 ttl=64 time=43.6 ms
64 bytes from 10.0.0.5: icmp_seq=14 ttl=64 time=42.9 ms
64 bytes from 10.0.0.5: icmp_seq=15 ttl=64 time=43.4 ms
64 bytes from 10.0.0.5: icmp_seq=16 ttl=64 time=43.1 ms
64 bytes from 10.0.0.5: icmp_seq=17 ttl=64 time=44.5 ms
64 bytes from 10.0.0.5: icmp_seq=18 ttl=64 time=43.0 ms
64 bytes from 10.0.0.5: icmp_seq=19 ttl=64 time=43.9 ms
64 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=43.4 ms
64 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=44.3 ms
